id,name,price,date,time
1668538,"Материнская плата ASUS PRIME B460M-K [LGA 1200, Intel B460, 2xDDR4-2933 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7299,2021-06-18,17:55:13
1053914,"Материнская плата ASUS H110T [LGA 1151, Intel H110, 2xDDR4-2133 МГц, аудио 7.1, Mini-ITX]",7499,2021-06-18,17:55:13
1325916,"Материнская плата ASUS TUF B450M-PRO GAMING [AM4, AMD B450, 4xDDR4-3533 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",7499,2021-06-18,17:55:13
1688759,"Материнская плата MSI B550M-A PRO [AM4, AMD B550, 2xDDR4-4600 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7499,2021-06-18,17:55:13
4759090,"Материнская плата MSI H510M PRO [LGA 1200, Intel H510, 2xDDR4-3200 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7650,23:06:13,17:55:13
1663618,"Материнская плата MSI B460M PRO-VDH WIFI [LGA 1200, Intel B460, 4xDDR4-2933 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7650,2021-06-18,17:55:13
1654720,"Материнская плата ASRock B460M Pro4 [LGA 1200, Intel B460, 4xDDR4-2933 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",7699,2021-06-18,17:55:13
1275051,"Материнская плата GIGABYTE B450 AORUS ELITE [AM4, AMD B450, 4xDDR4-3600 МГц, 2xPCI-Ex16, аудио 7.1, Standard-ATX]",7799,2021-06-18,17:55:13
1668534,"Материнская плата ASUS PRIME B550M-K [AM4, AMD B550, 4xDDR4-4800 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7899,2021-06-21,09:39:21
1275071,"Материнская плата ASUS TUF B450-PLUS GAMING [AM4, AMD B450, 4xDDR4-3200 МГц, 2xPCI-Ex16, аудио 7.1, Standard-ATX]",7999,2021-06-21,09:39:21
1654718,"Материнская плата ASRock B460 Phantom Gaming 4 [LGA 1200, Intel B460, 4xDDR4-2933 МГц, 2xPCI-Ex16, аудио 7.1, Standard-ATX]",7999,2021-06-18,17:55:13
1654732,"Материнская плата ASRock B460M-ITX/ac [LGA 1200, Intel B460, 2xDDR4-2933 МГц, 1xPCI-Ex16, аудио 7.1, Mini-ITX]",7999,2021-06-18,17:55:13
1604616,"Материнская плата ASUS PRIME A320I-K/CSM [AM4, AMD A320, 2xDDR4-3600 МГц, 1xPCI-Ex16, аудио 7.1, Mini-ITX]",7999,2021-06-18,17:55:13
1655154,"Материнская плата GIGABYTE B460M D3H [LGA 1200, Intel B460, 4xDDR4-2933 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",7999,2021-06-18,17:55:13
1655157,"Материнская плата GIGABYTE H470M DS3H [LGA 1200, Intel H470, 4xDDR4-2933 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",7999,2021-06-18,17:55:13
1392014,"Материнская плата MSI B450 GAMING PLUS MAX [AM4, AMD B450, 4xDDR4-4133 МГц, 2xPCI-Ex16, аудио 7.1, Standard-ATX]",7999,2021-06-18,17:55:13
1663617,"Материнская плата MSI MAG B460M BAZOOKA [LGA 1200, Intel B460, 4xDDR4-2933 МГц, 1xPCI-Ex16, аудио 7.1, Micro-ATX]",7999,2021-06-18,17:55:13
1395083,"Материнская плата ASUS TUF B365M-PLUS GAMING [LGA 1151-v2, Intel B365, 4xDDR4-2666 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",8150,2021-06-18,17:55:13
1396930,"Материнская плата MSI B450 TOMAHAWK MAX [AM4, AMD B450, 4xDDR4-4133 МГц, 2xPCI-Ex16, аудио 7.1, Standard-ATX]",8199,2021-06-18,17:55:13
1676377,"Материнская плата ASUS TUF GAMING B450M-PRO S [AM4, AMD B450, 4xDDR4-4400 МГц, 2xPCI-Ex16, аудио 7.1, Micro-ATX]",7950,2021-06-21,09:39:21
